rx_file,rx_start_utc,axis_angle_deg,speed_err_pct,rim_spread_mhz,rim_n
stockert_eme_2025_06_21_08_48_35_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:48:35.000,0.0254,-0.034,33.97,230
stockert_eme_2025_06_21_08_54_34_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:54:34.000,0.0256,-0.034,-10.9,438
stockert_eme_2025_06_21_08_55_33_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:55:33.000,0.0257,-0.035,-10.28,400
stockert_eme_2025_06_21_08_56_32_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:56:32.000,0.0258,-0.035,-17.84,440
stockert_eme_2025_06_21_08_57_31_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:57:31.000,0.0257,-0.035,-25.08,425
stockert_eme_2025_06_21_08_58_30_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:58:30.000,0.0259,-0.035,-11.96,436
stockert_eme_2025_06_21_08_59_29_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:59:29.000,0.0258,-0.035,-8.24,337
stockert_eme_2025_06_21_09_00_28_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:00:28.000,0.026,-0.036,-14.27,424
stockert_eme_2025_06_21_09_01_27_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:01:27.000,0.0259,-0.035,-19.21,435
stockert_eme_2025_06_21_09_02_26_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:02:26.000,0.0261,-0.036,-18.94,438
stockert_eme_2025_06_21_09_03_25_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:03:25.000,0.0261,-0.036,-7.05,354
stockert_eme_2025_06_21_09_06_52_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:06:52.000,0.0264,-0.037,-13.18,447
stockert_eme_2025_06_21_09_46_51_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:46:51.000,0.0298,-0.045,-10.51,453
stockert_eme_2025_06_21_09_47_50_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:47:50.000,0.0299,-0.045,-5.83,389
stockert_eme_2025_06_21_09_48_49_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:48:49.000,0.03,-0.046,-8.03,410
stockert_eme_2025_06_21_09_49_48_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:49:48.000,0.0301,-0.046,-15.69,458
stockert_eme_2025_06_21_09_50_47_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:50:47.000,0.0304,-0.046,-17.93,453
stockert_eme_2025_06_21_09_51_46_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:51:46.000,0.0305,-0.047,-0.01,342
stockert_eme_2025_06_21_09_52_45_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:52:45.000,0.0306,-0.047,-8.2,398
stockert_eme_2025_06_21_09_53_44_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:53:44.000,0.0308,-0.047,-21.14,461
stockert_eme_2025_06_21_09_54_43_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:54:43.000,0.031,-0.047,-13.59,464
stockert_eme_2025_06_21_09_55_42_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:55:42.000,0.0309,-0.048,-21.47,454
stockert_eme_2025_06_21_09_58_25_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:58:25.000,0.0313,-0.048,25.83,237
stockert_eme_2025_06_21_10_01_49_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T10:01:49.000,0.0319,-0.049,-20.16,453
stockert_eme_2025_06_21_10_06_39_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T10:06:39.000,0.0328,-0.051,0.47,323
stockert_eme_2025_06_21_10_09_25_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T10:09:25.000,0.0332,-0.052,36.25,204
stockert_eme_2025_06_21_10_11_46_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T10:11:46.000,0.0336,-0.052,-10.1,465
stockert_eme_2025_06_21_10_14_34_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T10:14:34.000,0.034,-0.053,29.88,144
stockert_eme_2025_06_21_10_17_40_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T10:17:40.000,0.0349,-0.055,29.12,144
stockert_eme_2025_06_21_10_26_29_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T10:26:29.000,0.0366,-0.058,-20.88,469
stockert_eme_2025_06_21_10_44_00_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T10:44:00.000,0.0416,-0.065,,0
stockert_eme_2025_06_21_11_18_31_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T11:18:31.000,0.058,-0.084,13.9,225
stockert_eme_2025_06_21_11_24_12_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T11:24:12.000,0.0621,-0.087,-16.22,487
stockert_eme_2025_06_21_11_27_05_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T11:27:05.000,0.0644,-0.089,-10.4,438
stockert_radar_2025_09_10_20_18_26_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:18:26.000,0.0224,0.047,10.16,265
stockert_radar_2025_09_10_20_22_09_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:22:09.000,0.0229,0.046,21.21,195
stockert_radar_2025_09_10_20_22_51_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:22:51.000,0.0231,0.046,30.96,189
stockert_radar_2025_09_10_20_23_33_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:23:33.000,0.0231,0.046,-11.89,376
stockert_radar_2025_09_10_20_24_15_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:24:15.000,0.0234,0.046,18.92,243
stockert_radar_2025_09_10_20_24_57_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:24:57.000,0.0235,0.046,24.65,206
stockert_radar_2025_09_10_20_25_39_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:25:39.000,0.0236,0.046,26.36,190
stockert_radar_2025_09_10_20_26_21_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:26:21.000,0.0237,0.046,-9.98,378
stockert_radar_2025_09_10_20_27_03_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-09-10T20:27:03.000,0.0237,0.045,21.86,324
