date,stamp,pitch_mhz,T_s,applied_df_hz,frozen_delta_mhz,frozen_spread_mhz,frozen_rim_n,legacy_delta_mhz,legacy_total_mhz,legacy_spread1_mhz,legacy_spreadc_mhz,legacy_n,legacy_score,adaptive_delta_mhz,adaptive_total_mhz,adaptive_spread1_mhz,adaptive_spreadc_mhz,adaptive_n,adaptive_score
2025-09-11,08_05_44,1.778,34.0,-0.12378223428668582,-0.0,,0,,,,,0,,97.85,-25.93,22.49,-41.37,202,1.2833
2025-09-11,08_06_26,1.797,34.0,0.027110782275317682,-33.07,-16.92,410,-32.91,-5.8,-16.8,-20.63,476,1.0002,-32.24,-5.13,-25.41,-27.28,217,0.9988
2025-09-11,08_07_08,1.808,34.0,-0.042485025513558705,34.71,-15.6,336,34.69,-7.8,-15.96,-15.51,476,1.1066,34.86,-7.62,-18.57,-19.89,214,1.1096
2025-09-11,08_07_50,1.798,34.0,-0.015384942035137092,11.26,-22.77,443,11.44,-3.95,-22.65,-23.39,442,0.9659,12.7,-2.68,-31.99,-31.29,200,0.9686
2025-09-11,08_08_32,1.854,34.0,-0.09000388685376001,22.75,2.42,134,24.78,-65.22,0.83,-5.82,217,1.409,85.97,-4.03,14.42,-35.57,227,1.0432
2025-09-11,08_09_14,1.865,34.0,-0.005219303224015852,4.57,-16.64,465,4.57,-0.65,-16.44,-16.5,470,1.0534,4.45,-0.77,-20.67,-20.26,223,1.0515
2025-09-11,08_09_56,1.857,34.0,0.018319188786054014,-23.2,-25.77,422,-23.3,-4.98,-25.54,-27.84,428,1.0226,-23.17,-4.85,-32.98,-36.74,205,1.0276
2025-09-11,08_10_38,1.907,34.0,-0.020255842098086757,17.63,-19.55,455,17.59,-2.67,-19.41,-19.88,459,1.0201,19.41,-0.85,-24.19,-23.1,225,1.0191
2025-09-11,08_11_20,1.897,34.0,-0.003356340241638526,-2.49,-30.45,416,-2.6,-5.95,-30.18,-30.74,410,1.1346,1.74,-1.61,-36.92,-37.17,212,1.1962
2025-09-11,08_12_02,1.921,34.0,0.041048005161033886,-0.0,,0,-47.3,-6.25,-20.11,-21.49,435,1.0668,-46.46,-5.41,6.07,-25.43,216,1.0734
