rx_file,rx_start_utc,span_field_hz,span_analytic_hz,ratio_err_pct
stockert_eme_2025_06_21_08_48_35_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:48:35.000,18.7792,18.5325,-1.313
stockert_eme_2025_06_21_08_54_34_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:54:34.000,18.4005,18.2797,-0.657
stockert_eme_2025_06_21_08_55_33_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:55:33.000,18.3589,18.2369,-0.664
stockert_eme_2025_06_21_08_56_32_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:56:32.000,18.4433,18.1938,-1.352
stockert_eme_2025_06_21_08_57_31_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:57:31.000,18.2718,18.1504,-0.664
stockert_eme_2025_06_21_08_58_30_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:58:30.000,18.2286,18.1067,-0.669
stockert_eme_2025_06_21_08_59_29_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T08:59:29.000,18.2962,18.0626,-1.277
stockert_eme_2025_06_21_09_00_28_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:00:28.000,18.174,18.0182,-0.857
stockert_eme_2025_06_21_09_01_27_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:01:27.000,18.1882,17.9735,-1.18
stockert_eme_2025_06_21_09_02_26_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:02:26.000,18.0473,17.9284,-0.658
stockert_eme_2025_06_21_09_03_25_1299.500MHz_0.25Msps_ci16_le.chan1.sigmf-meta,2025-06-21T09:03:25.000,18.1284,17.8831,-1.353
